# max_time,max,min_time,min
1.166666666666666741e+00,1.220985672392474441e+01,8.333333333333333703e-01,-1.190381136047766120e+01
3.933333333333333126e+00,1.104550650662649502e+01,3.566666666666666874e+00,-1.320431108804294240e+01
7.466666666666666785e+00,7.877379611449919494e+00,6.700000000000000178e+00,-1.219418754684851081e+01
1.073333333333333250e+01,1.013555460198544722e+01,1.036666666666666714e+01,-1.012905958805736617e+01
1.359999999999999964e+01,8.282258322078229540e+00,1.323333333333333250e+01,-1.234841201764655949e+01
1.726666666666666572e+01,8.028276776195305331e+00,1.693333333333333357e+01,-1.341333525403165083e+01
2.206666666666666643e+01,7.878094007808199351e+00,2.160000000000000142e+01,-1.374806724047793693e+01
2.630000000000000071e+01,7.782458260970792630e+00,2.613333333333333286e+01,-1.154230279691705441e+01
3.110000000000000142e+01,6.298559665679931641e+00,3.069999999999999929e+01,-1.087302350997924449e+01
3.533333333333333570e+01,5.065214107112980813e+00,3.516666666666666430e+01,-1.031184906728753781e+01
4.066666666666666430e+01,5.584917520179714323e+00,4.026666666666666572e+01,-1.192782645447873158e+01
4.520000000000000284e+01,6.015119791030891783e+00,4.493333333333333002e+01,2.015034460257592031e-01
4.993333333333333002e+01,5.359243392944335049e+00,4.956666666666666998e+01,-1.046635646589288449e+01
5.516666666666666430e+01,-1.115199432271971247e+01,5.839999999999999858e+01,2.122572850030790548e+00

mean min, -9.98131900672011
mean max, 6.4578889260905195
count per minute, 14.015572858731925
