# max_time,max,min_time,min
1.166666666666666741e+00,1.220985672392474441e+01,4.000000000000000222e-01,-1.633991253350721706e+01
3.933333333333333126e+00,1.104550650662649502e+01,3.000000000000000000e+00,-1.538688253673688777e+01
7.466666666666666785e+00,7.877379611449919494e+00,9.500000000000000000e+00,-1.806588115799346639e+01
1.073333333333333250e+01,1.013555460198544722e+01,1.000000000000000000e+01,-1.512535159810208540e+01
1.359999999999999964e+01,8.282258322078229540e+00,1.276666666666666750e+01,-1.496067657577920684e+01
1.726666666666666572e+01,8.028276776195305331e+00,1.656666666666666643e+01,-1.486033859360143872e+01
2.206666666666666643e+01,7.878094007808199351e+00,2.523333333333333428e+01,-1.555312728881839135e+01
2.630000000000000071e+01,7.782458260970792630e+00,2.580000000000000071e+01,-1.529142417045184743e+01
3.110000000000000142e+01,6.298559665679931641e+00,3.033333333333333215e+01,-1.359143452759370874e+01
3.533333333333333570e+01,5.065214107112980813e+00,3.473333333333333428e+01,-1.180484299882082233e+01
4.066666666666666430e+01,5.584917520179714323e+00,4.403333333333333144e+01,-1.347015375860224573e+01
4.520000000000000284e+01,6.015119791030891783e+00,4.460000000000000142e+01,-1.142206382751464844e+01
4.993333333333333002e+01,5.359243392944335049e+00,4.916666666666666430e+01,-1.195459957452368549e+01
5.529999999999999716e+01,-1.036405187323528487e+01,5.483333333333333570e+01,-1.282389450073242543e+01

mean min, -14.33218454591272
mean max, 6.5141705296251216
count per minute, 14.015572858731925
