# max_time,max,min_time,min
1.166666666666666741e+00,1.220985672392474441e+01,7.333333333333332815e-01,-1.309216097029922032e+01
3.933333333333333126e+00,1.104550650662649502e+01,3.333333333333333481e+00,-1.361292619288988348e+01
7.466666666666666785e+00,7.877379611449919494e+00,6.500000000000000000e+00,-1.228695774078370029e+01
1.073333333333333250e+01,1.013555460198544722e+01,1.026666666666666750e+01,-1.167366099357604803e+01
1.359999999999999964e+01,8.282258322078229540e+00,1.306666666666666643e+01,-1.437576097249984919e+01
1.726666666666666572e+01,8.028276776195305331e+00,1.686666666666666714e+01,-1.411433737953350231e+01
2.206666666666666643e+01,7.878094007808199351e+00,2.160000000000000142e+01,-1.374806724047793693e+01
2.630000000000000071e+01,7.782458260970792630e+00,2.606666666666666643e+01,-1.261861557729730521e+01
3.110000000000000142e+01,6.298559665679931641e+00,3.066666666666666785e+01,-1.210130887262334376e+01
3.533333333333333570e+01,5.065214107112980813e+00,3.503333333333333144e+01,-1.126739259095737111e+01
4.066666666666666430e+01,5.584917520179714323e+00,4.006666666666666998e+01,-1.216349599231716994e+01
4.520000000000000284e+01,6.015119791030891783e+00,4.486666666666666714e+01,-1.041268342733381758e+01
4.993333333333333002e+01,5.359243392944335049e+00,4.956666666666666998e+01,-1.046635646589288449e+01
5.510000000000000142e+01,-1.193032542897422665e+01,5.850000000000000000e+01,3.692749073429011375e+00

mean min, -11.302926810218073
mean max, 6.4022938470723405
count per minute, 14.015572858731925
