# max_time,max,min_time,min
1.366666666666666696e+00,1.119420795663022261e+01,1.633333333333333304e+00,8.065471291289245670e+00
3.933333333333333126e+00,1.104550650662649502e+01,4.233333333333333393e+00,6.086837560265045965e+00
7.466666666666666785e+00,7.877379611449919494e+00,8.300000000000000711e+00,4.265600259735586874e+00
1.103333333333333321e+01,8.856051365708244916e+00,1.123333333333333250e+01,5.742905616760243248e+00
1.369999999999999929e+01,8.030852888942506596e+00,1.509999999999999964e+01,3.327419757843044223e+00
1.743333333333333357e+01,7.010228351073943820e+00,1.863333333333333286e+01,2.376557826995853162e+00
2.223333333333333428e+01,7.057916045188903809e+00,2.430000000000000071e+01,5.218455735439064824e-01
2.846666666666666501e+01,6.823741774321954168e+00,3.006666666666666643e+01,-1.489709938533792410e+01
5.606666666666666998e+01,3.589876684887613134e+00,5.789999999999999858e+01,2.722826957702642048e+00

mean min, 2.023596162088627
mean max, 7.942862353869978
count per minute, 9.010011123470523
