# max_time,max,min_time,min
1.166666666666666741e+00,1.220985672392474441e+01,1.000000000000000000e+00,-9.916700551670560415e+00
3.933333333333333126e+00,1.104550650662649502e+01,3.633333333333333304e+00,-1.286017513275146662e+01
7.466666666666666785e+00,7.877379611449919494e+00,6.799999999999999822e+00,-1.189691776470898787e+01
1.073333333333333250e+01,1.013555460198544722e+01,1.169999999999999929e+01,5.227060794830320489e+00
1.359999999999999964e+01,8.282258322078229540e+00,1.509999999999999964e+01,3.327419757843044223e+00
1.726666666666666572e+01,8.028276776195305331e+00,1.863333333333333286e+01,2.376557826995853162e+00
2.206666666666666643e+01,7.878094007808199351e+00,2.460000000000000142e+01,3.167926266180387529e-01
2.650000000000000000e+01,7.246476732861601988e+00,2.919999999999999929e+01,6.234834138149558669e-01
3.110000000000000142e+01,6.298559665679931641e+00,3.089999999999999858e+01,-1.069669771194458008e+01
3.533333333333333570e+01,5.065214107112980813e+00,3.756666666666666998e+01,5.616052094692047802e-01
4.066666666666666430e+01,5.584917520179714323e+00,4.036666666666666714e+01,-1.019903354867123646e+01
4.520000000000000284e+01,6.015119791030891783e+00,4.639999999999999858e+01,8.727002687736135078e-01
4.993333333333333002e+01,5.359243392944335049e+00,4.979999999999999716e+01,-9.911482766586034998e+00
5.636666666666666714e+01,3.143478581981753450e+00,5.820000000000000284e+01,2.911646044585607385e+00

mean min, -3.518838680957302
mean max, 7.440709738704254
count per minute, 14.015572858731925
