# max_time,max,min_time,min
1.166666666666666741e+00,1.220985672392474441e+01,5.333333333333333259e-01,-1.556936840707268566e+01
3.933333333333333126e+00,1.104550650662649502e+01,3.100000000000000089e+00,-1.369903482410046003e+01
7.466666666666666785e+00,7.877379611449919494e+00,6.366666666666666252e+00,-1.419773798211240923e+01
1.073333333333333250e+01,1.013555460198544722e+01,1.019999999999999929e+01,-1.284192707822319157e+01
1.359999999999999964e+01,8.282258322078229540e+00,1.290000000000000036e+01,-1.476354598999023438e+01
1.726666666666666572e+01,8.028276776195305331e+00,1.666666666666666785e+01,-1.472669306369542142e+01
2.206666666666666643e+01,7.878094007808199351e+00,2.136666666666666714e+01,-1.427968941080665388e+01
2.630000000000000071e+01,7.782458260970792630e+00,2.596666666666666501e+01,-1.460733596539630597e+01
3.110000000000000142e+01,6.298559665679931641e+00,3.039999999999999858e+01,-1.310324330099115642e+01
3.533333333333333570e+01,5.065214107112980813e+00,3.503333333333333144e+01,-1.126739259095737111e+01
4.066666666666666430e+01,5.584917520179714323e+00,4.006666666666666998e+01,-1.216349599231716994e+01
4.520000000000000284e+01,6.015119791030891783e+00,4.479999999999999716e+01,-1.093015943499156428e+01
4.993333333333333002e+01,5.359243392944335049e+00,4.923333333333333428e+01,-1.142495823867806770e+01
5.520000000000000284e+01,-1.170141589641570334e+01,5.489999999999999858e+01,-1.065677480812654210e+01

mean min, -13.15938264910423
mean max, 6.418644527969377
count per minute, 14.015572858731925
