# frame_no,time,bDetected,angle_B,angle_L,angle_wrtB_L,angle_R,angle_wrtB_R,area_norm_L,area_norm_R,ax_ratio_L,ax_ratio_R
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,9.248955292199916300e+01,6.736003494262695312e+01,2.512951797937220988e+01,9.109509277343750000e+01,1.394460148561663004e+00,-1.074697320287788804e-02,6.250571346443936594e-04,1.596210730144675294e+00,1.600599485701725611e+00
1.000000000000000000e+00,3.333333333333333287e-02,1.000000000000000000e+00,9.184761026599460365e+01,6.753863716125488281e+01,2.430897310473972084e+01,9.117701721191406250e+01,6.705930540805411511e-01,-1.920419085950923060e-03,6.119223543070718627e-03,1.621560244204250489e+00,1.581121258376774197e+00
1.000000000000000000e+01,3.333333333333333148e-01,1.000000000000000000e+00,9.182796824430501204e+01,6.669727706909179688e+01,2.513069117521321516e+01,8.949529546499252319e+01,2.332672779312488842e+00,-5.994213293763368637e-03,-3.495567671675350093e-03,1.608548089882322119e+00,1.619586467937421670e+00
1.000000000000000000e+02,3.333333333333333481e+00,1.000000000000000000e+00,9.186767883943417701e+01,7.080557823181152344e+01,2.106210060762265357e+01,9.474197387695312500e+01,-2.874295037518947993e+00,-1.241453384648848798e-03,4.745681940964137195e-03,1.617131012008182989e+00,1.610289020654320558e+00
1.000000000000000000e+03,3.333333333333333570e+01,1.000000000000000000e+00,9.197493401088198084e+01,6.711853599548339844e+01,2.485639801539858240e+01,9.068159484863281250e+01,1.293339162249168339e+00,3.511306524465670608e-03,-1.435255268515478163e-03,1.621985602101319257e+00,1.639211561841250830e+00
1.001000000000000000e+03,3.336666666666666714e+01,1.000000000000000000e+00,9.128732894152503263e+01,6.745062255859375000e+01,2.383670638293128263e+01,9.087072753906250000e+01,4.166014024625326329e-01,-3.957316189857145415e-03,-1.036327568220825508e-02,1.624054819913983483e+00,1.662084943527970093e+00
1.002000000000000000e+03,3.339999999999999858e+01,1.000000000000000000e+00,9.130195267257887792e+01,6.770500183105468750e+01,2.359695084152419042e+01,9.096270751953125000e+01,3.392451530476279231e-01,-5.315247592461293941e-03,-1.242358808536812680e-02,1.602036290759643489e+00,1.645660843025118947e+00
1.003000000000000000e+03,3.343333333333333002e+01,1.000000000000000000e+00,9.128732894152503263e+01,6.641735458374023438e+01,2.486997435778479826e+01,9.119656372070312500e+01,9.076522082190763285e-02,2.153375121861522083e-03,-2.808796870622059377e-03,1.603212644610460202e+00,1.647405523809751804e+00
1.004000000000000000e+03,3.346666666666666856e+01,1.000000000000000000e+00,9.128732894152503263e+01,6.629072189331054688e+01,2.499660704821448576e+01,9.067016601562500000e+01,6.171629259000326329e-01,-5.994213293763368637e-03,-1.242358808536812680e-02,1.621209582369343316e+00,1.658295665452032663e+00
1.005000000000000000e+03,3.350000000000000000e+01,1.000000000000000000e+00,9.131691240579326063e+01,6.720968818664550781e+01,2.410722421914775282e+01,9.128329467773437500e+01,3.361772805888563198e-02,-6.673178995065442466e-03,-1.105004648326154623e-02,1.620365437688845889e+00,1.660165880467309174e+00
1.006000000000000000e+03,3.353333333333333144e+01,1.000000000000000000e+00,9.128732894152503263e+01,6.621906661987304688e+01,2.506826232165198576e+01,9.117807006835937500e+01,1.092588731656576329e-01,-5.994213293763368637e-03,-1.435255268515478163e-03,1.616974704289150910e+00,1.645211477298387459e+00
1.007000000000000000e+03,3.356666666666666998e+01,1.000000000000000000e+00,9.197493401088198084e+01,6.646879386901855469e+01,2.550614014186342615e+01,9.049552917480468750e+01,1.479404836077293339e+00,-3.278350488555071586e-03,-2.808796870622059377e-03,1.619098780608945631e+00,1.639425560524691461e+00
1.008000000000000000e+03,3.360000000000000142e+01,1.000000000000000000e+00,9.130195267257887792e+01,6.654269790649414062e+01,2.475925476608473730e+01,9.076739501953125000e+01,5.345576530476279231e-01,-1.210490460548203570e-02,-1.311035888642141795e-02,1.603910604012532604e+00,1.656965033546349053e+00
1.009000000000000000e+03,3.363333333333333286e+01,1.000000000000000000e+00,9.130195267257887792e+01,6.631027603149414062e+01,2.499167664108473730e+01,9.045912170410156250e+01,8.428309684773154231e-01,-5.994213293763368637e-03,-1.105004648326154623e-02,1.605350029171711546e+00,1.651871785400861992e+00
1.010000000000000000e+02,3.366666666666666696e+00,1.000000000000000000e+00,9.184761026599460365e+01,7.087531280517578125e+01,2.097229746081882240e+01,9.557716369628906250e+01,-3.729553430294458849e+00,1.097992923878848663e-02,1.998598736750974766e-03,1.593323613587217302e+00,1.636612375406119479e+00
1.010000000000000000e+03,3.366666666666666430e+01,1.000000000000000000e+00,9.128732894152503263e+01,6.615510749816894531e+01,2.513222144335608732e+01,9.101547241210937500e+01,2.718565294156576329e-01,-7.352144696367516295e-03,-1.173681728431483738e-02,1.609449752118791821e+00,1.653722038446413301e+00
1.011000000000000000e+03,3.370000000000000284e+01,1.000000000000000000e+00,9.131691240579326063e+01,6.558913993835449219e+01,2.572777246743876844e+01,9.066868591308593750e+01,6.482264927073231320e-01,-7.352144696367516295e-03,-2.808796870622059377e-03,1.606440092616181037e+00,1.641863263540007445e+00
1.012000000000000000e+03,3.373333333333333428e+01,1.000000000000000000e+00,9.127303002005670862e+01,6.546295738220214844e+01,2.581007263785456018e+01,8.955648982524871826e+01,1.716540194807990360e+00,-8.710076098971664821e-03,-5.555880074835221373e-03,1.618653131738514217e+00,1.658611118707649990e+00
1.013000000000000000e+03,3.376666666666666572e+01,1.000000000000000000e+00,9.193058744116699188e+01,6.500752830505371094e+01,2.692305913611328094e+01,9.024971008300781250e+01,1.680877358159179380e+00,-5.624876833467746433e-04,-9.676504881154965668e-03,1.604606723291619463e+00,1.659609234583478310e+00
