# frame_no,time,bDetected,angle_B,angle_L,angle_wrtB_L,angle_R,angle_wrtB_R,area_norm_L,area_norm_R,ax_ratio_L,ax_ratio_R
1.020000000000000000e+02,3.399999999999999911e+00,1.000000000000000000e+00,9.248955292199916300e+01,6.996848106384277344e+01,2.252107185815638957e+01,8.877691388130187988e+01,3.712639040697283122e+00,-3.233309226970109123e-03,9.082558020773696256e-03,1.619673988293788058e+00,1.696331788056304912e+00
1.020000000000000000e+03,3.400000000000000000e+01,1.000000000000000000e+00,9.317983011986423492e+01,6.649452781677246094e+01,2.668530230309177398e+01,8.676256942749023438e+01,6.417260692374000541e+00,7.229602152732794197e-03,2.618683983629949315e-03,1.593152658938590704e+00,1.714183580377085958e+00
1.021000000000000000e+03,3.403333333333333144e+01,1.000000000000000000e+00,9.314495746469802384e+01,6.600073242187500000e+01,2.714422504282302384e+01,8.647663545608520508e+01,6.668322008612818763e+00,9.518553249110519882e-04,8.364349794424390944e-03,1.596076681319657409e+00,1.721463284138481820e+00
1.022000000000000000e+03,3.406666666666666998e+01,1.000000000000000000e+00,9.314495746469802384e+01,6.687478446960449219e+01,2.627017299509353165e+01,8.709840464591979980e+01,6.046552818778224037e+00,-4.431995257160017336e-04,1.267359915252022108e-02,1.606576588559961882e+00,1.723552278516550906e+00
1.023000000000000000e+03,3.410000000000000142e+01,1.000000000000000000e+00,9.307745539942438029e+01,6.719111824035644531e+01,2.588633715906793498e+01,8.643113327026367188e+01,6.646322129160708414e+00,8.624657003359847973e-03,2.618683983629949315e-03,1.586713632674744634e+00,1.703713374010802584e+00
1.024000000000000000e+03,3.413333333333333286e+01,1.000000000000000000e+00,9.311084065349076866e+01,6.690524864196777344e+01,2.620559201152299522e+01,8.650188970565795898e+01,6.608950947832809675e+00,5.137019876792213099e-03,-9.723571481165761612e-04,1.606546859057269572e+00,1.700686661017065671e+00
1.025000000000000000e+03,3.416666666666666430e+01,1.000000000000000000e+00,9.314495746469802384e+01,6.666596603393554688e+01,2.647899143076247697e+01,8.663434958457946777e+01,6.510607880118556068e+00,-1.140726951029528676e-03,4.640593045820341376e-04,1.611186249357908995e+00,1.744589189012970776e+00
1.026000000000000000e+03,3.420000000000000284e+01,1.000000000000000000e+00,9.248955292199916300e+01,6.644660949707031250e+01,2.604294342492885050e+01,8.619494581222534180e+01,6.294607109773821207e+00,1.649382750224578876e-03,5.491516889027169696e-03,1.603650309996278445e+00,1.734351617575969895e+00
1.027000000000000000e+03,3.423333333333333428e+01,1.000000000000000000e+00,9.311084065349076866e+01,6.660197830200195312e+01,2.650886235148881553e+01,8.662352871894836426e+01,6.487311934542404401e+00,5.834547302105740421e-03,4.055100436328559939e-03,1.599846599536033143e+00,1.721261205499458269e+00
1.028000000000000000e+03,3.426666666666666572e+01,1.000000000000000000e+00,9.311084065349076866e+01,6.657089805603027344e+01,2.653994259746049522e+01,8.725096917152404785e+01,5.859871481966720808e+00,3.044437600851632435e-03,5.491516889027169696e-03,1.604254953370835235e+00,1.703736911273078247e+00
1.029000000000000000e+03,3.429999999999999716e+01,1.000000000000000000e+00,9.314495746469802384e+01,6.645365715026855469e+01,2.669130031442946915e+01,8.713029503822326660e+01,6.014662426474757240e+00,2.543278995975251544e-04,6.209725115376475008e-03,1.608941397502920978e+00,1.731285560837658277e+00
1.030000000000000000e+02,3.433333333333333126e+00,1.000000000000000000e+00,9.311084065349076866e+01,7.012799644470214844e+01,2.298284420878862022e+01,8.891516482830047607e+01,4.195675825190292585e+00,-2.535781801656582235e-03,-9.723571481165761612e-04,1.635163454352755563e+00,1.707672864003036528e+00
1.030000000000000000e+03,3.433333333333333570e+01,1.000000000000000000e+00,9.311084065349076866e+01,6.727516555786132812e+01,2.583567509562944053e+01,8.680535912513732910e+01,6.305481528353439558e+00,3.741965026165159323e-03,1.123718269982161046e-02,1.606652221628162236e+00,1.727585200745997529e+00
1.031000000000000000e+03,3.436666666666666714e+01,1.000000000000000000e+00,9.307745539942438029e+01,6.708037185668945312e+01,2.599708354273492716e+01,8.675233364105224609e+01,6.325121758372134195e+00,4.439492451478686645e-03,-2.408773600815186568e-03,1.610365749444539363e+00,1.714297581515526803e+00
1.032000000000000000e+03,3.439999999999999858e+01,1.000000000000000000e+00,9.311084065349076866e+01,6.639660263061523438e+01,2.671423802287553428e+01,8.711453580856323242e+01,5.996304844927536237e+00,1.280982155524100843e-02,4.640593045820341376e-04,1.592987411337694281e+00,1.707595745891369532e+00
1.033000000000000000e+03,3.443333333333333002e+01,1.000000000000000000e+00,9.314495746469802384e+01,6.635464668273925781e+01,2.679031078195876603e+01,8.671803879737854004e+01,6.426918667319483802e+00,2.543278995975251544e-04,4.640593045820341376e-04,1.597067008085198969e+00,1.740932095113260969e+00
1.034000000000000000e+03,3.446666666666666856e+01,1.000000000000000000e+00,9.311084065349076866e+01,6.586557197570800781e+01,2.724526867778276085e+01,8.602548098564147949e+01,7.085359667849289167e+00,7.229602152732794197e-03,5.491516889027169696e-03,1.594243931483398269e+00,1.726205084162007131e+00
1.035000000000000000e+03,3.450000000000000000e+01,1.000000000000000000e+00,9.314495746469802384e+01,6.605821800231933594e+01,2.708673946237868790e+01,8.669061589241027832e+01,6.454341572287745521e+00,3.741965026165159323e-03,4.640593045820341376e-04,1.595358374294525872e+00,1.727912026631756914e+00
